experiment	gene_identifier	log2_fc	n_trt	n_ctl	expression_ctl0	log10_p	log10_p_bh
2	29619_at	-1.747508306	3	2	2.863	-1.88560486	-0.144208647
2	309176_at	0.146179402	3	2	2.958	-0.201344525	-0.025050727
2	81022_at	0.282392027	3	2	2.549	-0.374243414	-0.0443991
2	25100_at	-0.611295681	3	2	2.781	-1.060961419	-0.081279331
2	316213_at	-0.564784053	3	2	1.732	-0.746868439	-0.065116852
2	25409_at	0.990033223	3	2	1.345	-0.63076357	-0.065116852
2	54249_at	-0.455149502	3	2	2.56	-0.667345045	-0.065116852
2	24424_at	0.617940199	3	2	4.142	-0.459172045	-0.048675088
2	171553_at	-1.299003322	3	2	1.549	-1.025767496	-0.079960032
2	363122_at	0.398671096	3	2	2.323	-0.644298621	-0.065116852
2	81918_at	0.365448505	3	2	2.6	-0.520656215	-0.056217508
2	311670_at	0.093023256	3	2	2.546	-0.111137492	-0.01461301
2	291539_at	0.528239203	3	2	3.111	-0.815499351	-0.065779823
2	361698_at	0.23255814	3	2	3.434	-0.349796707	-0.042652816
2	297428_at	-0.564784053	3	2	3.117	-0.715176804	-0.065116852
2	64469_at	0.03986711	3	2	2.89	-0.051309244	-0.007430131
2	84029_at	-0.03654485	3	2	4.191	-0.024867242	-0.00345171
2	407784_at	-0.255813953	3	2	3.185	-0.399587561	-0.046187636
2	502359_at	-0.57807309	3	2	0.87	-0.190715833	-0.023485072
2	29456_at	-1.867109635	3	2	1.414	-0.949344715	-0.077768682
2	29486_at	-0.378737542	3	2	2.875	-0.545998191	-0.058638641
2	316376_at	0.488372093	3	2	2.833	-0.750177497	-0.065116852
2	311167_at	-2.833887043	3	2	0.814	-2.487679854	-0.291148379
2	316507_at	-0.508305648	3	2	1.669	-0.347858279	-0.042584396
2	362464_at	1.677740864	3	2	1.912	-0.504748537	-0.052627084
2	26192_at	0.083056478	3	2	4.685	-0.085263659	-0.011173067
2	85434_at	0.132890365	3	2	3.147	-0.193694036	-0.024075904
2	288058_at	-0.019933555	3	2	3.374	-0.020818202	-0.003072861
2	54292_at	-0.451827243	3	2	2.238	-0.311045442	-0.039035372
2	366213_at	-1.182724252	3	2	1.555	-0.425626427	-0.047695098
2	287273_at	-0.325581395	3	2	3.229	-0.515709261	-0.054936526
2	300981_at	-0.083056478	3	2	3.512	-0.091182062	-0.011609482
2	288091_at	-0.352159468	3	2	2.728	-0.491657848	-0.051815831
2	360763_at	-0.215946844	3	2	2.516	-0.276884813	-0.034819732
2	25321_at	0.757475083	3	2	2.206	-0.643267449	-0.065116852
2	298836_at	-0.312292359	3	2	2.73	-0.427842387	-0.04772978
2	689618_at	-2.651162791	3	2	0.882	-2.406270174	-0.271863125
2	289504_at	-0.491694352	3	2	2.285	-0.46825333	-0.049522158
2	100361647_at	-2.242524917	3	2	1.194	-0.817577245	-0.065779823
2	24968_at	-0.53820598	3	2	3.377	-0.744732019	-0.065116852
2	54257_at	-0.189368771	3	2	0.918	-0.118170816	-0.015177894
2	296562_at	-0.425249169	3	2	2.695	-0.326466926	-0.040981217
2	170699_at	-0.096345515	3	2	2.433	-0.107763785	-0.013634153
2	502017_at	-0.265780731	3	2	3.315	-0.359030374	-0.0429403
2	29721_at	-1.119601329	3	2	1.458	-0.376697678	-0.0443991
2	24575_at	-0.887043189	3	2	2.264	-0.882726318	-0.072339589
2	501736_at	-0.976744186	3	2	2.238	-0.707544619	-0.065116852
2	25707_at	-0.455149502	3	2	2.091	-0.538274197	-0.057626682
2	25508_at	0.066445183	3	2	3.072	-0.088269816	-0.011521942
2	361624_at	-0.584717608	3	2	2.735	-0.869068838	-0.069961439
2	300034_at	0.093023256	3	2	2.085	-0.114244129	-0.014973608
2	60332_at	0.046511628	3	2	1.739	-0.03685521	-0.005529501
2	305610_at	-0.465116279	3	2	1.441	-0.293451528	-0.036709115
2	287543_at	0.3089701	3	2	3.354	-0.502992906	-0.052627084
2	288269_at	0.295681063	3	2	2.969	-0.350390187	-0.042722469
2	362187_at	-1.787375415	3	2	1.368	-0.578868652	-0.059802252
2	360609_at	0.109634551	3	2	3.073	-0.088416793	-0.011521942
2	314169_at	0.009966777	3	2	2.541	-0.008828696	-0.001256163
2	94269_at	0.106312292	3	2	3.292	-0.146727728	-0.017977909
2	289372_at	-0.156146179	3	2	2.749	-0.228901929	-0.029483371
2	502367_at	-0.398671096	3	2	3.086	-0.442047106	-0.047745948
2	691929_at	-0.315614618	3	2	0.707	-0.181936484	-0.022614466
2	363023_at	0.172757475	3	2	3.303	-0.181568524	-0.022614466
2	85431_at	2.245847176	3	2	2.334	-0.406492657	-0.046187636
2	295691_at	-0.990033223	3	2	1.979	-1.514549041	-0.106548712
2	260416_at	0.126245847	3	2	3.68	-0.1825785	-0.022694523
2	291813_at	-0.760797342	3	2	2.504	-1.136245166	-0.083570239
2	140945_at	-0.11627907	3	2	3.661	-0.172778269	-0.021883021
2	502858_at	0.332225914	3	2	1.224	-0.355056502	-0.042809186
2	362194_at	0.099667774	3	2	2.608	-0.134959041	-0.017575294
2	29567_at	0.013289037	3	2	1.698	-0.008237166	-0.001164621
2	246295_at	-0.853820598	3	2	2.352	-1.162156013	-0.083570239
2	84017_at	0.043189369	3	2	0.92	-0.021310493	-0.003072861
2	680752_at	-0.139534884	3	2	1.43	-0.041117266	-0.006309081
2	312664_at	-0.372093023	3	2	1.563	-0.694726077	-0.065116852
2	312787_at	-1.305647841	3	2	2.07	-1.635594988	-0.110398167
2	314196_at	0.282392027	3	2	2.763	-0.340340473	-0.041617385
2	171299_at	-1.372093023	3	2	1.042	-1.0022672	-0.078888388
2	500450_at	-0.6910299	3	2	2.121	-1.014297035	-0.079340553
2	314548_at	0.478405316	3	2	2.345	-0.66856633	-0.065116852
2	29467_at	-0.325581395	3	2	2.577	-0.465633367	-0.049449343
2	113936_at	-0.375415282	3	2	4.145	-0.653807368	-0.065116852
2	83588_at	-1.714285714	3	2	1.585	-1.525159631	-0.106548712
2	360559_at	-1.322259136	3	2	1.612	-0.657105486	-0.065116852
2	365176_at	-0.122923588	3	2	2.75	-0.150419198	-0.018322979
2	498358_at	-0.043189369	3	2	2.853	-0.052699132	-0.007459647
2	171387_at	0.34551495	3	2	2.801	-0.238264539	-0.03130039
2	140593_at	-0.142857143	3	2	2.487	-0.13375426	-0.017575294
2	312863_at	0.166112957	3	2	2.693	-0.222405717	-0.028512068
2	303200_at	-0.225913621	3	2	3.204	-0.286027414	-0.035711344
2	83725_at	-0.182724252	3	2	2.546	-0.21180098	-0.027145305
2	363150_at	0.335548173	3	2	2.715	-0.607941557	-0.063874722
2	100363332_at	0.488372093	3	2	1.786	-0.46643799	-0.049522158
2	293844_at	-0.368770764	3	2	2.439	-0.545993676	-0.058638641
2	171135_at	-0.315614618	3	2	3.338	-0.436417321	-0.047745948
2	499977_at	-0.561461794	3	2	0.948	-0.1730907	-0.021906235
2	192229_at	-0.202657807	3	2	3.024	-0.267227526	-0.034819732
2	24778_at	-0.252491694	3	2	2.382	-0.300084858	-0.037710708
